HyperBRKGAScore, HyperBRKGATime, GridSearchScore, GridSearchTime, RandomSearchScore, RandomSearchTime
0.7721840251252015, 9.778795, 0.7721840251252015, 3.401748895645142, 0.7721840251252015, 0.6778185367584227
0.7721840251252015, 9.604489, 0.7721840251252015, 3.3505358695983882, 0.766980731686614, 0.6830806732177734
0.7721840251252015, 14.210469, 0.7721840251252015, 3.4297249317169185, 0.7721840251252015, 0.7228178977966309
0.7721840251252015, 8.62388, 0.7721840251252015, 3.5318620204925537, 0.7721840251252015, 0.6894087791442871
0.7708853238265002, 10.86132, 0.7721840251252015, 3.3818225860595708, 0.7708853238265002, 0.6935856342315673
0.7721840251252015, 12.555489, 0.7721840251252015, 3.4081473350524907, 0.7721840251252015, 0.725349187850952
0.7721840251252015, 11.003453, 0.7721840251252015, 3.520174980163574, 0.7708853238265002, 0.687722682952881
0.7708853238265002, 9.315531, 0.7721840251252015, 3.4361379146575928, 0.7695866225277989, 0.7026505470275879
0.7721840251252015, 9.126954, 0.7721840251252015, 3.4507312774658208, 0.7721840251252015, 0.7062640190124512
0.7721840251252015, 10.419785, 0.7721840251252015, 3.4506931304931645, 0.7695866225277989, 0.7139434814453125
0.7721840251252015, 10.413974, 0.7721840251252015, 4.0831964015960684, 0.7696035990153636, 0.9312071800231934
0.7721840251252015, 8.881664, 0.7721840251252015, 3.447379112243653, 0.7708683473389355, 0.6812751293182373
0.7721840251252015, 14.582665, 0.7721840251252015, 3.392008066177368, 0.7721840251252015, 0.6849274635314941
0.7721840251252015, 8.725654, 0.7721840251252015, 3.3837981224060063, 0.7695866225277989, 0.7234742641448975
0.7721840251252015, 11.844616, 0.7721840251252015, 3.3965919017791744, 0.7695866225277989, 0.6882829666137695
0.7721840251252015, 14.13954, 0.7721840251252015, 3.3605234622955322, 0.7695866225277989, 0.696338415145874
0.7721840251252015, 10.913039, 0.7721840251252015, 3.3828690052032475, 0.7708853238265002, 0.7031667232513428
0.7708853238265002, 8.760246, 0.7721840251252015, 3.3881974220275883, 0.7682879212290977, 0.6776003837585449
0.7721840251252015, 14.995872, 0.7721840251252015, 3.4691917896270743, 0.7708853238265002, 0.8107409477233886
0.7721840251252015, 8.867781, 0.7721840251252015, 3.391100645065308, 0.766980731686614, 0.6927530765533447
Média: 0.7719892199303962,10.8812608,Média: 0.7721840251252015,3.452821743488312,Média: 0.7703649944826413,0.7146203994750977